aaa	Acidovorax avenae
aac	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
aad	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
aae	Aquifex aeolicus
aag	Aedes aegypti (yellow fever mosquito)
aah	Aggregatibacter actinomycetemcomitans HK1651
aai	Arthrobacter arilaitensis
aal	Alteromonas australica
aan	Aggregatibacter actinomycetemcomitans D7S-1
aao	Aggregatibacter actinomycetemcomitans ANH9381
aap	Aggregatibacter aphrophilus
aar	Acetohalobium arabaticum
aas	Candidatus Amoebophilus asiaticus
aat	Aggregatibacter actinomycetemcomitans D11S-1
aau	Arthrobacter aurescens
aav	Acidovorax citrulli
aba	Candidatus Koribacter versatilis
abaa	Acinetobacter baumannii AB031
abab	Acinetobacter baumannii BJAB0715
abad	Acinetobacter baumannii D1279779
abaj	Acinetobacter baumannii BJAB0868
abal	Acinetobacter baumannii LAC-4
abau	Acinetobacter baumannii AB030
abaz	Acinetobacter baumannii ZW85-1
abb	Acinetobacter baumannii AB307-0294
abc	Acinetobacter baumannii ACICU
abd	Acinetobacter baumannii TCDC-AB0715
abe	Arthroderma benhamiae
abh	Acinetobacter baumannii TYTH-1
abi	Aciduliprofundum boonei
abj	Acinetobacter baumannii BJAB07104
abk	Acinetobacter baumannii AbH12O-A2
abl	Arcobacter butzleri 7h1h
abm	Acinetobacter baumannii SDF
abn	Acinetobacter baumannii AB0057
abo	Alcanivorax borkumensis
abp	Agaricus bisporus var. burnettii JB137-S8
abq	Azospirillum brasilense Az39
abr	Acinetobacter baumannii MDR-TJ
abra	Acholeplasma brassicae
abs	Azospirillum brasilense Sp245
abt	Arcobacter butzleri ED-1
abu	Arcobacter butzleri RM4018
abv	Agaricus bisporus var. bisporus H97
abw	Acinetobacter baumannii AC29
abx	Acinetobacter baumannii 1656-2
aby	Acinetobacter baumannii AYE
abz	Acinetobacter baumannii MDR-ZJ06
aca	Acidobacterium capsulatum
acan	Acanthamoeba castellanii
acb	Acinetobacter baumannii ATCC 17978
acc	Acinetobacter calcoaceticus
acd	Acinetobacter oleivorans
ace	Acidothermus cellulolyticus
acf	Aciduliprofundum sp. MAR08-339
ach	Arthrobacter chlorophenolicus
aci	Acinetobacter sp. ADP1
acj	Aeropyrum camini
ack	Acidovorax sp. KKS102
acl	Acholeplasma laidlawii
acm	Granulicella tundricola
acn	Anaplasma centrale
aco	Aminobacterium colombiense
acp	Anaeromyxobacter dehalogenans 2CP-1
acr	Acidiphilium cryptum
acs	Anolis carolinensis (green anole)
act	Aspergillus clavatus
actn	Actinoplanes sp. N902-109
acu	Acidithiobacillus caldus SM-1
acx	Azotobacter chroococcum
acy	Anabaena cylindrica
acz	Acidithiobacillus caldus ATCC 51756
ade	Anaeromyxobacter dehalogenans 2CP-C
adg	Ammonifex degensii
adi	Alcanivorax dieselolei
adk	Alicycliphilus denitrificans K601
adl	Auricularia delicata
adn	Alicycliphilus denitrificans BC
aeh	Alkalilimnicola ehrlichii
aeq	Adlercreutzia equolifaciens
aeu	Actinobacillus equuli
aex	Asticcacaulis excentricus
afd	Alistipes finegoldii
afe	Acidithiobacillus ferrooxidans ATCC 53993
