SGB ID	Species label	NCBI taxID	Alternative species labels	Alternative NCBI taxIDs
SGB234	Halohasta_litchfieldiae	1073996		
SGB131	Candidatus_Mancarchaeum_acidiphilum	1920749		
SGB278	Halorubrum_sp_Ea1	1480718	Halorubrum_sp_Ib24,Halorubrum_sp_Hd13,Halorubrum_sp_Eb13,Halorubrum_sp_Ea8	1383850,1480728,1383843,1383841
SGB187	Methanothrix_soehngenii	2223		
SGB242	Haloferax_sulfurifontis	255616	Haloferax_denitrificans,Haloferax_massiliensis,Haloferax_sp_KTX1	35745,1476858,2600597
SGB243	Haloferax_sp_SB29	1544718		
SGB229	Halorientalis_persicus	1367881		
SGB252	Haloprofundus_marisrubri	1514971		
SGB226	Haloarcula_vallismortis	28442		
SGB184	Methanocella_paludicola	570267		
SGB144	Methanoplanus_limicola	2315		
SGB210	Halovenus_aranensis	890420		
SGB194	Methanosaeta_harundinacea	301375		
SGB208	Halodesulfurarchaeum_formicicum	1873524		
SGB141	Methanocorpusculum_labreanum	83984		
SGB170	Methanoculleus_bourgensis	83986	Methanoculleus_sp_MAB1	86622
SGB261	Halobellus_clavatus	660517		
SGB269	Halopenitus_malekzadehii	1267564		
SGB203	Haloquadratum_walsbyi	293091		
SGB236	Halobacterium_sp_DL1	751944		
SGB221	Halorhabdus_utahensis	146826		
SGB284	Halorubrum_persicum	1383844		
SGB145	Methanospirillum_hungatei	2203		
SGB282	Halorubrum_sp_WN019	2032630		
SGB259	Halobacterium_jilantaiense	355548		
SGB262	Halobellus_limi	699433		
SGB168	Methanofollis_liminatans	2201		
SGB281	Halorubrum_saccharovorum	2248		
SGB239	Haloferax_mediterranei	2252		
SGB290	Haloarchaeobius_iranensis	996166		
SGB155	Methanoregula_formicica	882104		
SGB249	Halogranum_rubrum	553466	Halogranum_salarium	693851
SGB237	Haloferax_larsenii	302484		
SGB218	Natronomonas_pharaonis	2257		
SGB238	Haloferax_elongans	403191		
SGB263	Candidatus_Halobonum_tyrrellensis	1431545		
SGB268	Halopenitus_persicus	1048396	haloarchaeon_3A1_DGR	1071085
SGB213	Haladaptatus_paucihalophilus	367189	Haladaptatus_sp_W1	1897478
SGB289	Halorubrum_vacuolatum	63740		
SGB232	Halomicrobium_zhouii	767519		
SGB254	Haloplanus_vescus	555874		
SGB272_group	Halorubrum_ezzemoulense	337243	Halorubrum_distributum,Halorubrum_terrestre,Halorubrum_sp_SD683,Halorubrum_sp_C191,Halorubrum_sp_CGM4_25_10_8A,Halorubrum_sp_SD690R,Halorubrum_sp_CGM5_25_10_8B,Halorubrum_sp_GN12_10_3_MGM,Halorubrum_chaoviator,Halorubrum_arcis,Halorubrum_litoreum,Halorubrum_sp_C3,Halorubrum_tropicale,Halorubrum_sp_Atlit_28R,Halorubrum_sp_Atlit_8R,Halorubrum_sp_SS7,Halorubrum_sp_ASP1,Halorubrum_sp_ASP121,Halorubrum_sp_RHB_C,Halorubrum_sp_SP3,Halorubrum_sodomense,Halorubrum_californiense,Halorubrum_sp_GN11GM_10_3_MGM,Halorubrum_hochstenium,Halorubrum_tebenquichense,Halorubrum_sp_T3,Halorubrum_sp_GN11_10_6_MGM,Halorubrum_xinjiangense,Halorubrum_coriense,Halorubrum_sp_BOL3_1,Halorubrum_sp_Atlit_26R,Halorubrum_trapanicum	29283,267368,1855873,1383842,2518116,2518117,2518115,2518113,335819,368454,409316,1483399,1765655,2282129,2282126,2518119,2518114,1855858,2739057,1537265,35743,416585,2518111,1227480,119434,1194088,2518112,261291,64713,2497325,2282128,29284
SGB245	Halopelagius_inordinatus	553467		
SGB196	Methanothrix_thermoacetophila	2224		
SGB279	Halorubrum_kocurii	478441		
SGB256	Natronoarchaeum_philippinense	558529		
SGB286	Halorubrum_aidingense	368623		
SGB285	Halorubrum_lacusprofundi	2247		
SGB253	Salinigranum_rubrum	755307		
SGB255	Salinarchaeum_sp_Harcht_Bsk1	1333523		
SGB283	Halorubrum_halophilum	413816	Halorubrum_saccharovorum	2248
SGB260	Halarchaeum_acidiphilum	489138		
SGB246	Halogeometricum_borinquense	60847		
SGB143	Methanolacinia_petrolearia	54120		
SGB292	Halovivax_asiaticus	332953		
SGB230	Halorientalis_sp_IM1011	1932360		
SGB219	Natronomonas_moolapensis	416273		
SGB248	Halogeometricum_rufum	553469	Halogeometricum_sp_CBA1124	2668071
SGB220	Halorhabdus_tiamatea	430914		
SGB257	Halobacterium_salinarum	2242		
SGB235	halophilic_archaeon_DL31	756883		
SGB258	Halobacterium_hubeiense	1407499		
SGB280	Halorubrum_lipolyticum	368624		
SGB177_group	Methanoculleus_marisnigri	2198	Methanoculleus_sp_MH98A,Methanoculleus_chikugoensis,Methanoculleus_horonobensis,Methanoculleus_sediminis	1495314,118126,528314,1550566
SGB247	Halogeometricum_pallidum	411361		
SGB240	Haloferax_gibbonsii	35746	Haloferax_prahovense,Haloferax_alexandrinus,Haloferax_sp_SB3,Haloferax_sp_Q22,Haloferax_sp_Atlit_19N,Haloferax_sp_Atlit_4N,Haloferax_sp_Atlit_16N,Haloferax_sp_Atlit_12N,Haloferax_sp_Atlit_6N,Haloferax_sp_Atlit_10N	381852,114529,1544719,1526048,2077201,2077206,2077202,2077203,2077205,2077204
SGB267	Halolamina_sp_CBA1230	1853690		
SGB293	Halostagnicola_sp_A56	1495067		
SGB215	Haladaptatus_litoreus	553468		
SGB271	Halorubrum_sp_AJ67	1173487		
SGB287	Halorubrum_halodurans	1383851		
SGB163	Methanosphaerula_palustris	475088		
SGB266	Halolamina_pelagica	699431		
SGB185	Methanocella_conradii	1175444		
SGB244	Halopelagius_longus	1236180		
SGB225_group	Haloarcula_hispanica	51589	Haloarcula_salaria,Haloarcula_argentinensis,Haloarcula_rubripromontorii,Haloarcula_amylolytica,Haloarcula_sp_CBA1115,Haloarcula_sp_K1,Haloarcula_sp_CBA1131,Haloarcula_sp_CBA1122,Haloarcula_marismortui,Haloarcula_sinaiiensis,Haloarcula_californiae,Haloarcula_quadrata,Haloarcula_sp_JP_Z28,Haloarcula_sebkhae,Haloarcula_taiwanensis,Haloarcula_sp_Atlit_120R,Haloarcula_sp_Atlit_47R,Haloarcula_sp_Atlit_7R,Haloarcula_japonica,Haloarcula_sp_CBA1127	575195,43776,1705562,396317,1592728,1622207,1853686,2668069,2238,35742,244363,182779,2716715,932660,1932004,2282135,2282132,2282125,29282,1765055
SGB214	Haladaptatus_sp_R4	1679489		
SGB124	Clostridia_bacterium	2044939		
SGB251	Halogranum_gelatinilyticum	660521		
